City,FAA,IATA,ICAO,Airport,Role,Enplanements,Country,State,Address,LAT,LNG,Driving
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,457,562",United States,ALABAMA,"5900 Messer Airport Hwy, Birmingham, AL 35212",33.5620278,-86.7524798,"5268728386,5713777177,7802718482,8042848580,8282776973,8437658476,8902677265,10366678371,11343667865,11844687278,12681746578,12982776778,13162776977,14465848983,14522868083,14737807883,14874777966,15690657183,15863656689,16779696780,16980718380,17082718084,18437847672,18736676569,18946777685,18972778389,19265798766,19377806572,19794658676,19821867668,20287848273,20435698686,20581767384,20588836586,20841836870,21773668482,22122778765,22421677684,23071766988,23249727272,23450668175,23469858365,23600707679,24145677283,24487767084,24544837286,24770656988,25364717886,26298746588,27004678671,27174667686,27488717171,27743706589,27762848875,27820718379,28287737868,28354778982,28403708377,28426766772,29083838476,29270827965,29868848982,29986728483,30345686566,30615737677,30662776779,30825837170,30867668084,31181686589,31215826885,31275887865,31497677773,31512848065,31640837066,32010768766,32047807369,32514768972,32857796574,32950678287,33127838073,33761766775,33940838281,33947747678,34006777666,34025677772,34051848576,34067807186,34386686576,34415708765,34483837268,34516667773,34910687087,34932677985,35246698778,35332868266,35687857378,35706727985,35854807168,36102736572,36318677279,36358807365,36765836678,37530656784,37601828387,37691677566,37764838779,37826797567,38188806673,38294677676,38751776887,39144827367,39399847976,39569798268,40457776773,40650707676,40881659079,41004718275,41028777673,41217676575,41259677669,41287727182,41385838083,41467798270,41475736568,41657777365,41657827068,41773766587,41932807270,42022688487,42089766578,42713686765,42903658583,42941656673,43124718282,43180677368,43349777569,43407736784,43616766669,43681777571,43825807384,44076707884,44616686681,44777668773,45345778378,45699777275,45867836584,46246776884,46689657679,46752776683,47221678280,47275698273,47295688377,47396837678,48343837484,49320836769,49398797765,49516836689,49575658487,49958848667,50347657765,50405718266,50489656669,50489767875,50633807276,50990738084,51382776570,51708766666,51885678765,52293728983,52318768369,52460658680,52610698987,52769768268,52837848478,53046728276,53126668570,53248807678,53594838588,53766656789,53807658078,54258777069,54328736571,54532716775,54575696585,54833698782,54850668279,55165727966,55298718273,55474677385,55671827273,56349697677,56552737784,56570667177,56748827967,56748828384,56845698367,57397747075,57635767165,57739778380,58210728078,58365838770,58509708368,59002738472,59955827987,60578738380,60731778184,60889838982,61439766670,61459838467,61901728678,63292687672,63526658489,63554657666,63776677788,64721658284,64764666876,65324668268,65582836570,65631656681,65763878384,66099697680,66771727366,67247808668,67947808566,67978798272,68095656682,68165797183,69022686978,69423677983,69817807382,69899666968,69917706582,70097667983,70598667473,71079667070,71639806671,71877777284,72166737876,72286766966,72452667368,72894728965,73173808377,73555668486,73899717075,74339747783,75542826580,75579766582,76009808777,76217778689,76361718567,76365808667,77122697169,77581688279,79535667383,79750658369,80788726878,80796778474,81478656775,81827678082,81947827568,82033707671,82489848583,82630717484,82767716767,83286667182,84418777984,84671687375,85944827583,86168716778,87024808267,87150807165,87308677889,87420827387,87459837282,88154807288,88264659065,88641866976,91286888765,91329737080,91712836889,92241808173,93050677968,93073667376,93653667668,94391898577,94879766583,95290797168,96006837667,96341808685,96370837185,96397746567,97402676867,100137807372,100543669078,101308736865,102630808380,103376878983,103692836578,104474668477,104613797884,105147848770,105528727678,105809718470,106652837865,107003668582,107335697579,107370767166,107780766588,107831667076,108322838578,110277667973,110728778379,112143836665,112606777772,113680706584,114866837788,115721836680,117741706765,119867827879,120003836775,120039778289,121069837467,121540716971,122062796575,122409676782,122864837079,123256837770,124888808587,124983657687,126015838483,126280808367,126470768783,129811826877,129901897577,130349696584,130995826868,133469806888,136318667073,136473836965,137349777082,138299698571,139748656786,141137667673,144421798472,146954698368,147144708268,208492758478,223986757687,231037747885,232860878271,240304706573,243638866890,245002808371,248001778273,248907657867,258378697865,262849727977,279774836767,292775896575,308432656881,490579688584,100000000657578,100000000657873,100000000666984,100000000668178,100000000668287,100000000676886,100000000678088,100000000687671,100000000718384,100000000718577,100000000727876,100000000738479,100000000757965,100000000758377,100000000767372,100000000767889,100000000777575,100000000788282,100000000797171,100000000797769,100000000798490,100000000808071,100000000808369,100000000827980,100000000837371,100000000837384,100000000837485,100000000838078,100000000838484,100000000838488,100000000847381,100000000857875,100000000868183"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"52,855",United States,ALABAMA,"800 Airport Dr, Dothan, AL 36303",31.3149271,-85.4484367,"6266656689,6514696780,7002777177,7005678371,7287847672,7742868083,9503807883,10168867668,11611658476,11892776778,11896667277,13395777966,14869717886,15493718084,15878746588,15953776973,16093728386,17388718482,18031668175,18088677265,18867848580,19468836586,19618778389,19643657183,19831686566,20168776779,20352746578,21018848065,21020718380,21145837066,21553807369,22129727272,22168667865,22428668482,22559676569,23446838281,23511777666,23694848983,23833658676,23987776977,24838868266,25141767084,25359807168,25625677283,26461677684,26616777685,27106828387,27423707679,27508858365,27693806673,28788848273,29081766772,29267656988,30090798766,30155707676,30202806572,31162777365,31259698686,31405767384,31522668084,31566706589,31665836870,31859718379,32214837286,32273778982,32947778765,33896766988,34438737677,35158717171,35255826885,35432848875,36361727985,36680796574,36757736572,37539848982,37564827965,37829678671,37873768972,37890807186,37998667686,39069698778,39111737868,39216728483,39228708377,39907838476,40988768766,41507677676,41649837170,41928678287,42005686589,42057686576,42099887865,42116698987,42321677773,42581687087,42776837268,42975677279,43183827367,43952838073,44585766775,44606658583,44771747678,44850677772,44875848576,45200656784,45239708765,45290798270,45340667773,45755807270,45757677985,46511857378,46521836584,46669677566,47182807365,47589836678,47671718275,47875678280,48588838779,48651797567,48867736568,49055838083,49576776887,49580727182,49623686765,50224847976,50393798268,50611656673,51281776773,51306766587,51706659079,51852777673,52041676575,52084677669,52138668773,52481827068,52594766669,52823807384,52846688487,52914766578,53339836689,53424768268,53701728276,53949718282,54005677368,54174777569,54231736784,54505777571,54540776884,54900707884,54913777069,55440686681,55505668279,56014837484,56169778378,56523777275,57514657679,57577776683,57614836769,58099698273,58119688377,58221837678,58227807276,58783656669,59052776570,59284738084,59378766666,60223797765,60400658487,60494657765,60754658680,60783848667,60900848478,61230718266,61314767875,61361656789,62710678765,62836727966,63096698782,63117728983,63143768369,63950668570,64072807678,64418838588,64632658078,64642697677,64864667177,64992747075,65153736571,65356716775,65400696585,65721767165,66122718273,66298677385,66484728078,66495827273,66658838770,67295738472,67377737784,67572827967,67572828384,67625827987,67670698367,68164738380,68564778380,69183838982,69334708368,70066728678,71556778184,71847657666,72264766670,72283838467,72903666876,73015658284,73769697680,73928878384,74116687672,74351658489,74600677788,75412808668,75768836570,75817656681,76063798272,76148668268,76459797183,77596727366,77983666968,78182667983,78772808566,78920656682,79847686978,79933806671,79962777284,80247677983,80580766966,80617667368,80642807382,80741706582,81059728965,81258808377,81423667473,81848668486,81904667070,82990737876,84093808777,84382778689,84530808667,84723717075,85164747783,86367826580,86404766582,87186718567,87767688279,87946697169,89642656775,90032827568,90160848583,90360667383,90575658369,91371667182,91612726878,91620778474,92218707671,92652678082,93454717484,93591716767,95243777984,95496687375,95825807288,95934659065,96353716778,96768827583,97209808267,97335807165,98133677889,98244827387,98283837282,99465866976,100326808173,101514737080,102061898577,102110888765,102536836889,103838667668,103874677968,103897667376,105064766583,106115797168,106555837185,106830837667,107165808685,107222746567,107587676867,110300808380,110962807372,111363836578,111367669078,112133736865,113917797884,114201878983,115167837865,115299668477,115972848770,116217767166,116353727678,116634718470,116756668582,117123766588,118016667076,118159697579,119147838578,121101667973,121553778379,121895836665,122792777772,123865706584,125164837788,125906836680,128565706765,130052827879,130188836775,130224778289,131254837467,132247796575,132365716971,132594676782,133049837079,133441837770,135713808587,135807657687,136201838483,137105808367,137294768783,140636826877,140726897577,141173696584,141180826868,144294806888,147143667073,147298836965,148174777082,149123698571,149933656786,151962667673,155246798472,157778698368,157969708268,219317758478,234811757687,241861747885,243684878271,251129706573,254463866890,255827808371,258826778273,259731657867,269203697865,273673727977,290598836767,303599896575,319257656881,501403688584,100000000657578,100000000657873,100000000666984,100000000668178,100000000668287,100000000676886,100000000678088,100000000687671,100000000718384,100000000718577,100000000727876,100000000738479,100000000757965,100000000758377,100000000767372,100000000767889,100000000777575,100000000788282,100000000797171,100000000797769,100000000798490,100000000808071,100000000808369,100000000827980,100000000837371,100000000837384,100000000837485,100000000838078,100000000838484,100000000838488,100000000847381,100000000857875,100000000868183"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"580,932",United States,ALABAMA,"1000 Glenn Hearn Blvd SW, Huntsville, AL 35824",34.6482049,-86.774574,"5338667277,7419667865,7621677265,8705848580,9982777177,11083718482,12418776977,12544776973,13093658476,13183848983,14839678371,15341798766,15453806572,16113687278,16510698686,16916836870,16943746578,17502776778,18197778765,18791868083,19006807883,19006848273,19143777966,19147766988,19763767384,20148656689,20234657183,20536718380,20596658676,21048696780,21344718084,22706847672,23079678671,23208777685,23234778389,23249667686,23279676569,24341867668,24362737868,25108836586,25158838476,25977677684,26035668482,26547728483,27025858365,27191848875,27256686589,27572677773,27585708377,27769727272,27970668175,27989827965,28143707679,28689677283,28749767084,28805837286,29032656988,29203838073,29669718379,29836766775,29884717886,30007837170,30100677772,30241678287,30457887865,30490708765,30591667773,30728768766,30817746588,31233768972,31476677985,31749717171,32286706589,32296857378,32433807365,32688766772,32840836678,32897778982,33129747678,33201837268,33233848576,33814826885,34130848982,34827776887,34865686566,35037677279,35129668084,35159737677,35182776779,35475847976,35644798268,36032848065,36159837066,36409677566,36567807369,36946838779,36957659079,37009797567,37103777673,37169686576,37292676575,37334677669,37401796574,37658687087,37732827068,38097688487,38164766578,38460838281,38522776773,38526777666,38610827367,38611807186,39200718282,39425777569,39756777571,39789677368,39790698778,39852868266,39900807384,39968727985,40005727182,40151707884,40193736568,40364736572,40373807168,40691686681,40956766587,41420778378,41432686765,41654807270,41726656784,42120828387,42334766669,42556677676,42589736784,42708806673,42828776683,42927838083,43298657679,43350698273,43490798270,43496668773,43904688377,44115777275,44965776884,45120718275,45169707676,45651658487,45899656673,46033848667,46177777365,46480718266,46578837678,47019658583,47464797765,47960678765,48039836769,48394768369,48555767875,49201668570,49208656669,49323807678,49351807276,49529657765,49636836689,49709738084,49882658078,50128836584,50403736571,50650696585,50938728983,51179658680,51301837484,51482678280,51549677385,51556848478,51659838588,51746827273,52485656789,52628737784,52823827967,52823828384,52920698367,53363718273,53547766666,53552698782,53714716775,54335697677,54340776570,54348778380,55289667177,56115747075,56353767165,56575708368,56807778184,56929728078,56968738472,57031768268,57083838770,57130698987,57250838982,57308728276,58068838467,58123727966,58520777069,59112668279,59296738380,59367687672,59505766670,59851677788,60620728678,61082658284,61592658489,61933668268,62272657666,62527827987,62846727366,63483666876,64482878384,64526797183,64765836570,64814656681,65965808668,66161656682,66697798272,67004706582,67130808566,67207667473,67668686978,67883807382,68068677983,68241737876,68617666968,68816667983,69057697680,69145667070,70358806671,70596777284,70986717075,71005766966,71171667368,71399747783,71613728965,71891808377,72273668486,73608826580,73645766582,74727808777,74936778689,75084808667,75543718567,75768697169,76703667383,76764688279,78933658369,79434726878,79893678082,79978778474,80196656775,80666827568,80832716767,81215707671,81276717484,81478777984,81731687375,82005667182,84009827583,85350716778,85447848583,85485827387,85525837282,85954677889,86206808267,86332807165,87286866976,87308807288,87658659065,88346888765,88771836889,90511737080,90960808173,91116677968,91139667376,92835667668,93356797168,94061766583,94071837667,94463746567,94986808685,95552837185,96584676867,97171898577,98203807372,98608669078,99374736865,101442878983,101889808380,102540668477,103213848770,103594727678,103795797884,103875718470,105400697579,105834837865,106185668582,106388838578,106472836578,106552767166,106962766588,107013667076,108342667973,108794778379,111325836665,111789777772,112862706584,114048837788,114903836680,115807706765,119049827879,119185836775,119221778289,119606716971,120251837467,121244796575,121591676782,122046837079,122438837770,122954808587,123049657687,124346808367,124536768783,125198838483,127877826877,127967897577,128415696584,130177826868,131535806888,134384667073,134539836965,135415777082,136365698571,138930656786,139203667673,142487798472,145020698368,145210708268,205552758478,221046757687,228096747885,229920878271,237364706573,240698866890,242062808371,245061778273,245966657867,255438697865,259908727977,276833836767,289835896575,305492656881,487638688584,100000000657578,100000000657873,100000000666984,100000000668178,100000000668287,100000000676886,100000000678088,100000000687671,100000000718384,100000000718577,100000000727876,100000000738479,100000000757965,100000000758377,100000000767372,100000000767889,100000000777575,100000000788282,100000000797171,100000000797769,100000000798490,100000000808071,100000000808369,100000000827980,100000000837371,100000000837384,100000000837485,100000000838078,100000000838484,100000000838488,100000000847381,100000000857875,100000000868183"
